Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type,predicted_price
Under Construction,598,4075,2 BHK Apartment in Signature Global The Millennia 3,Sector 37D,Approved by RERA,2,Apartment,2434521.6097568395
Under Construction,1850,26486,3 BHK Independent Floor in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,3,Floor,49046086.61223143
Ready to move,1720,9302,3 BHK Apartment in Emaar Palm Gardens,Sector 83,Not approved by RERA,3,Apartment,15996981.377059648
Ready to move,3469,17872,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,62152628.982106246
Ready to move,6051,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,102734512.60805616
Under Construction,1902,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment,28000000.000000887
Ready to move,1671,8976,2 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,2,Apartment,14985490.060986286
Ready to move,750,8666,2 BHK Apartment in Tulip Lemon,Sector 69,Not approved by RERA,2,Apartment,6491340.09814195
Under Construction,2054,14950,3 BHK Apartment in M3M Skycity,Sector 65,Approved by RERA,3,Apartment,30653613.960238453
Under Construction,1555,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,32599999.999998
Ready to move,1582,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,19298488.278943732
Ready to move,900,3555,2 BHK Independent Floor,Sector 14,Not approved by RERA,2,Plot,3199999.9999998603
Ready to move,1450,17800,2 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,2,Apartment,25807755.550215274
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,2025,17530,3 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,3,Apartment,35470439.61293127
Under Construction,1665,220000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,366299999.99997485
Ready to move,1600,14062,3 BHK Independent Floor,Sector 63,Not approved by RERA,3,Plot,22497975.493232504
Under Construction,2800,15357,4 BHK Apartment in Ganga Nandaka,Sector 84,Approved by RERA,4,Apartment,42963785.96662609
Ready to move,1735,7780,3 BHK Apartment in Vatika Gurgaon 21,Sector 83,Not approved by RERA,3,Apartment,13586038.389150452
Ready to move,3469,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,76295989.5836853
Ready to move,1473,13450,1 BHK Apartment in M3M Sky Lofts,Sector 71,Not approved by RERA,1,Apartment,19965847.717233423
Under Construction,1545,6499,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,9999965.197956959
Ready to move,4973,16881,5 BHK Villa in Experion The Westerlies,Sector 108,Not approved by RERA,5,Villa,83378387.26357254
Ready to move,2400,16083,3 BHK Apartment in M3M Merlin Iconic Tower,Sector 67,Not approved by RERA,3,Apartment,38525236.37733496
Under Construction,2637,6826,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,18000000.000000242
Ready to move,1199,8000,2 BHK Apartment in M3M Sierra 68,Sector 68,Not approved by RERA,2,Apartment,9595554.90854934
Ready to move,2550,17019,4 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,4,Apartment,43303358.97118395
Under Construction,1374,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment,27996983.97529393
Ready to move,1895,18913,3 BHK Apartment in Parsvnath Exotica,Sector 53,Not approved by RERA,3,Apartment,35911929.79729551
Under Construction,1797,21300,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment,38171656.16459446
Ready to move,1800,6666,3 BHK Apartment in Satya The Hermitage,Sector 103,Not approved by RERA,3,Apartment,11967993.50380532
Ready to move,2425,8041,4 BHK Apartment in Pareena Express Heights,Sector 99A,Not approved by RERA,4,Apartment,19474855.099593434
Ready to move,2000,6500,3 BHK Independent Floor in Ansal Sushant Lok 1,Sector 43,Not approved by RERA,3,Floor,13061360.858568257
Under Construction,4430,20000,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment,88600000.00000681
Ready to move,1508,19893,2 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,2,Apartment,31165428.666887872
Under Construction,1545,10042,3 BHK Apartment in Ashiana Amarah Phase 2,Sector 93,Approved by RERA,3,Apartment,15507769.26172754
Under Construction,2781,12393,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,3,Apartment,33979495.67326227
Ready to move,1571,15913,2 BHK Apartment in Mangalam M3M Heights M3M Skycity,Sector 65,Not approved by RERA,2,Apartment,24277668.905208725
Ready to move,4935,11277,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment,55093237.520615615
Under Construction,1478,9979,2 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,2,Apartment,14626463.91554346
Ready to move,2000,2250,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Under Construction,1268,7937,3 BHK Apartment in Ashiana Anmol Phase II,Sector 33 Sohna,Approved by RERA,3,Apartment,10971293.080491448
Under Construction,2800,16500,3 BHK Apartment in Ganga Nandaka,Sector 84,Approved by RERA,3,Apartment,46199999.9999978
Ready to move,1371,9552,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,12999999.999999505
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,1699,10774,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,18295488.216215346
Under Construction,1470,14500,3 BHK Apartment in Signature Global City 63A,Sector 63A,Approved by RERA,3,Apartment,21300000.00000101
Ready to move,2831,9000,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment,25414605.03910967
Under Construction,1171,15798,2 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,2,Apartment,18302329.003783457
Ready to move,1125,17000,2 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,2,Apartment,18993354.356723562
Under Construction,2717,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment,44800000.000001386
Under Construction,1305,5747,3 BHK Independent Floor in SSG Yash Vatika 3,Sector 4,Approved by RERA,3,Floor,7439151.05945045
Ready to move,1000,4500,2 BHK Apartment,Sector 69,Not approved by RERA,2,Plot,4500000.000000258
Ready to move,3300,18933,4 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,4,Apartment,62420842.200325
Ready to move,7673,22000,4 BHK Apartment in Pioneer Araya,Sector 62,Not approved by RERA,4,Apartment,168146112.38120735
Ready to move,1900,7368,3 BHK Independent Floor,Sector 39,Not approved by RERA,3,Plot,15185188.786243828
Ready to move,1103,15933,2 BHK Apartment in Smart Smart World Gems,Sector 89,Not approved by RERA,2,Apartment,17461660.8558108
Ready to move,1269,6698,2 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,2,Apartment,8516142.538309298
Under Construction,6096,18559,5 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,5,Apartment,113100000.0000106
Ready to move,5211,23520,4 BHK Independent Floor in B kumar and brothers the passion group,Aralias Drive,Not approved by RERA,4,Floor,127399708.28975338
Ready to move,653,15003,3 BHK Independent Floor in Signature Global City 81,Sector 81,Not approved by RERA,3,Floor,9746043.542450424
Ready to move,2300,11087,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,Not approved by RERA,4,Apartment,25499999.999998122
Ready to move,518,4971,1 BHK Apartment in GLS Avenue 51,Sector 92,Not approved by RERA,1,Apartment,3139947.260707642
Ready to move,3340,19461,3 BHK Apartment in M3M Polo Suites,Sector 65,Not approved by RERA,3,Apartment,65273421.09694483
Ready to move,1750,11257,3 BHK Apartment in ATS Marigold,Sector 89A,Not approved by RERA,3,Apartment,19690924.26384969
Ready to move,2700,14444,4 BHK Apartment in Investors Guide Floor 5,DLF Phase 2,Not approved by RERA,4,Apartment,38905338.667623974
Under Construction,1975,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,39499999.9999976
Under Construction,2620,19600,4 BHK Apartment in Adani Samsara Avasa,Sector 63,Approved by RERA,4,Apartment,51607524.456620194
Ready to move,1961,10658,3 BHK Apartment in Vatika Iris Floors,Sector 82,Not approved by RERA,3,Apartment,21342833.979666967
Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Apartment,26799999.99999922
Ready to move,1550,9677,2 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,2,Apartment,15019575.941270787
Under Construction,2015,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,40799999.999998674
Ready to move,2100,10476,3 BHK Independent Floor,Sector 51,Not approved by RERA,3,Plot,21972619.05441655
Ready to move,4220,11278,4 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,4,Apartment,47516989.87202383
Ready to move,2384,6447,3 BHK Apartment in BPTP Amstoria Country Floor,Sector 102,Not approved by RERA,3,Apartment,15334161.213884383
Ready to move,463,4254,1 BHK Apartment in AVL 36,Sector 36A,Not approved by RERA,1,Apartment,2000228.929478095
Ready to move,3000,16666,4 BHK Apartment in Belairess,Golf Course Road,Not approved by RERA,4,Apartment,49499489.43906818
Ready to move,4400,19000,4 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,4,Apartment,83634717.37578934
Under Construction,1192,6399,2 BHK Apartment in M3M Sierra 68,Sector 68,Approved by RERA,2,Apartment,7628117.738898529
Ready to move,1370,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,27600000.000000726
Ready to move,250,4400,1 BHK Apartment in CHD Avenue 71,Sector 71,Not approved by RERA,1,Apartment,972082.9040387081
Under Construction,2538,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,50699999.999998204
Ready to move,1935,8527,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor,16532863.64271052
Under Construction,2071,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment,23199999.999998387
Ready to move,1800,11111,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot,20002469.41369877
Under Construction,2360,16001,3 BHK Apartment in Pyramid Alban,Sector 71,Approved by RERA,3,Apartment,37699999.999996506
Under Construction,645,4077,3 BHK Apartment in ROF Aalayas Phase 2,Sector 102,Approved by RERA,3,Apartment,2594303.6861371757
Ready to move,3900,11282,4 BHK Apartment in DLF Pinnacle,Sector 43,Not approved by RERA,4,Apartment,43871559.50624946
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,3909,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,85901997.69854783
Under Construction,1545,14250,3 BHK Apartment in Ashiana Amarah Phase 2,Sector 93,Approved by RERA,3,Apartment,22028042.49142531
Under Construction,1420,14750,2 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,2,Apartment,20899999.99999893
Ready to move,5521,22739,4 BHK Villa in B kumar and brothers the passion group,DLF CITY PHASE I,Not approved by RERA,4,Villa,131098661.21159565
Ready to move,3215,19000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment,60782568.46888384
Ready to move,2200,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,35657669.63565088
Ready to move,2352,8078,4 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,4,Apartment,18941156.72425841
Under Construction,1103,8435,2 BHK Apartment in Smart Smart World Gems,Sector 89,Approved by RERA,2,Apartment,9304000.000000246
Ready to move,1620,12962,3 BHK Independent Floor,Sector 56,Not approved by RERA,3,Plot,20981403.251609147
Under Construction,2150,23000,3 BHK Apartment in Silverglades Hightown Residences,Sector 28,Approved by RERA,3,Apartment,49399999.999995336
Under Construction,2350,17500,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment,41099328.58504788
Under Construction,4054,16500,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,66764194.54892203
Ready to move,9000,15277,5 BHK Independent Floor in DLF Phase 1,Sector 26 Gurgaon,Not approved by RERA,5,Floor,133320417.07068138
Ready to move,1611,12849,3 BHK Independent Floor in  Estates,Sector-63A Gurgaon,Not approved by RERA,3,Floor,20862177.363023993
Ready to move,2700,8518,4 BHK Independent Floor in Bargainer Ultra Premium Floors,Sector 51,Not approved by RERA,4,Floor,23055358.641953904
Under Construction,2505,9700,4 BHK Apartment in Vatika Vatika Seven Elements,Sector 89A,Approved by RERA,4,Apartment,24199999.999998797
Ready to move,1951,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment,39400000.00000182
Under Construction,2937,18559,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment,54511159.52644168
Ready to move,1800,7166,3 BHK Independent Floor,Sector 95,Not approved by RERA,3,Plot,12904976.082737429
Under Construction,2249,14300,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment,32117256.13925396
Ready to move,1264,10000,2 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,2,Apartment,12600674.209062513
Under Construction,1511,5294,3 BHK Apartment in Raheja Vanya,Sector 99A,Approved by RERA,3,Apartment,9241326.383613475
Under Construction,1091,34678,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,37800000.00000171
Ready to move,2356,16083,3 BHK Apartment in M3M Merlin Iconic Tower,Sector 67,Not approved by RERA,3,Apartment,37837544.765226945
Under Construction,1235,9072,3 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,3,Apartment,11201436.859412817
Under Construction,2390,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment,26799999.99999922
Ready to move,2215,13092,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment,29009770.82062033
Ready to move,2598,10775,3 BHK Apartment in Adani M2K Oyster Grande,Sector 102,Not approved by RERA,3,Apartment,27983236.271313325
Ready to move,900,3555,2 BHK Independent Floor,Sector 33,Not approved by RERA,2,Plot,3199999.9999998603
Ready to move,2367,12040,3 BHK Independent Floor,Sector 28,Not approved by RERA,3,Plot,28509125.07522051
Ready to move,1711,18994,3 BHK Apartment in Sobha City,Sector 108,Not approved by RERA,3,Apartment,32602132.199051514
Ready to move,2215,13544,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment,29944075.378777526
Under Construction,645,4000,3 BHK Apartment in Czar Mahira Homes 63A,Sector 63A,Approved by RERA,3,Apartment,2591861.7361998563
Ready to move,1508,19893,2 BHK Apartment in Emaar Digi Homes,Sector 62,Not approved by RERA,2,Apartment,31165428.666887872
Under Construction,2550,11250,4 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,4,Apartment,28600000.000001654
Ready to move,2095,12649,3 BHK Apartment in ATS Kocoon,Sector 109,Not approved by RERA,3,Apartment,26507249.23362988
Ready to move,1420,12000,2 BHK Apartment in Paras Irene,Sector 70A,Not approved by RERA,2,Apartment,17165989.50444929
Under Construction,1976,10960,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,21600000.00000004
Under Construction,2022,20000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment,40901482.22757608
Ready to move,675,8296,2 BHK Independent House,Sector 104,Not approved by RERA,2,Plot,5596460.561942181
Ready to move,9000,40000,5 BHK Apartment in Cameliaas,Golf Course Road,Not approved by RERA,5,Apartment,313659804.6290699
Ready to move,3130,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,53215786.007426515
Ready to move,2875,9043,4 BHK Apartment in Indiabulls Centrum Park,Sector 103,Not approved by RERA,4,Apartment,26001189.776610196
Ready to move,915,13661,2 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Not approved by RERA,2,Apartment,12660032.116817908
Under Construction,6353,20000,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment,127000000.00000449
Ready to move,1691,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,23899999.999999978
Ready to move,1200,3000,3 BHK Independent Floor,Sector 105,Not approved by RERA,3,Plot,3599999.9999999246
Ready to move,2300,23554,3 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,3,Apartment,54099999.999995984
Ready to move,3195,9859,4 BHK Independent Floor,Sector 43,Not approved by RERA,4,Plot,31561596.58104648
Ready to move,2600,8461,4 BHK Independent Floor,Sector 47,Not approved by RERA,4,Plot,22008967.20329484
Ready to move,2800,5250,3 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,3,Floor,14859166.267371679
Under Construction,578,4066,2 BHK Apartment in Signature Global Global Prime,Sector 63,Approved by RERA,2,Apartment,2351008.878472812
Ready to move,3150,7904,4 BHK Apartment in ATS Triumph,Sector 104,Not approved by RERA,4,Apartment,24803676.58615244
Ready to move,3240,10802,4 BHK Independent Floor,Sector 41,Not approved by RERA,4,Plot,35049651.40110832
Ready to move,2550,16862,3 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,3,Apartment,43021184.200761996
Under Construction,1955,8439,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment,18339468.813436225
Ready to move,2720,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment,56499999.99999568
Under Construction,1850,11500,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,21301803.630155683
Under Construction,2650,6377,3 BHK Apartment in ATS Marigold,Sector 89A,Approved by RERA,3,Apartment,16860186.65523641
Ready to move,1745,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment,48575984.4472932
Ready to move,1215,12345,2 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Not approved by RERA,2,Apartment,15026249.735681925
Under Construction,4927,16500,4 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,4,Apartment,81198072.93127725
Ready to move,4992,12500,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,62430318.70369847
Ready to move,1832,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment,25900000.000000454
Ready to move,1975,18734,4 BHK Apartment in Emaar Emerald Floors Premier,Sector 65,Not approved by RERA,4,Apartment,37020584.62195289
Ready to move,1200,4000,3 BHK Independent Floor,Sector 11,Not approved by RERA,3,Plot,4799999.999999974
Ready to move,1440,13000,3 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,3,Apartment,18689229.35972791
Under Construction,1471,3806,3 BHK Independent House,Sector 104,Not approved by RERA,3,Plot,5510773.47178043
Under Construction,1389,6407,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Approved by RERA,3,Apartment,9019481.04901361
Under Construction,1806,20266,3 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,3,Apartment,36600000.00000015
Ready to move,1775,6873,3 BHK Apartment in Ramprastha Primera,Sector 37D,Not approved by RERA,3,Apartment,12179136.307710415
Under Construction,2376,16006,3 BHK Apartment in Pyramid Alban,Sector 71,Approved by RERA,3,Apartment,37999999.99999902
Under Construction,2000,5650,3 BHK Apartment in Emaar Palm Heights,Sector 77,Approved by RERA,3,Apartment,11498234.951405814
Ready to move,2145,19020,3 BHK Apartment in Tata Primanti,Sector 72,Not approved by RERA,3,Apartment,40871349.241064616
Ready to move,1500,5333,2 BHK Apartment in Raheja Vedaanta,Sector 108,Not approved by RERA,2,Apartment,8036682.783596073
Under Construction,1091,14000,3 BHK Apartment in Signature Global City 92 Phase 2,Sector 92,Approved by RERA,3,Apartment,15192161.1744317
Ready to move,2200,13235,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,29103998.799662612
Ready to move,427,4000,1 BHK Apartment in Signature Global Orchard Avenue,Sector 93,Not approved by RERA,1,Apartment,1705570.391387415
Ready to move,1735,6340,3 BHK Apartment in Vatika Lifestyle Homes,Sector 83,Not approved by RERA,3,Apartment,11203622.066654462
Ready to move,2000,17500,3 BHK Apartment in Pioneer Park PH 1,Sector 61,Not approved by RERA,3,Apartment,35087043.16386463
Ready to move,2160,8101,4 BHK Apartment in Vatika The Seven Lamps,Sector 82,Not approved by RERA,4,Apartment,17525500.257583905
Ready to move,1376,12222,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment,16796982.234528843
Ready to move,2003,11482,3 BHK Apartment in Experion The Heartsong,Sector 108,Not approved by RERA,3,Apartment,22991932.388733845
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,36400000.000001304
Ready to move,2047,24230,3 BHK Apartment in M3M Merlin,Sector 67,Not approved by RERA,3,Apartment,49003952.417653956
Ready to move,2200,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,35657669.63565088
Under Construction,1423,8503,3 BHK Apartment in Smart Smart World Gems,Sector 89,Approved by RERA,3,Apartment,12099999.999999218
Ready to move,2606,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,41740868.78592546
Ready to move,1197,8000,2 BHK Apartment in M3M Sierra 68,Sector 68,Not approved by RERA,2,Apartment,9578437.92421585
Under Construction,2192,9854,3 BHK Apartment in Godrej Icon,Sector 88A,Approved by RERA,3,Apartment,21737449.237946205
Under Construction,3250,13476,4 BHK Apartment in Godrej Zenith,Sector 89,Approved by RERA,4,Apartment,43887391.944023415
Ready to move,2800,18500,4 BHK Apartment in Ireo Skyon,Sector 60,Not approved by RERA,4,Apartment,51556512.78385738
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot,4500000.000000258
Ready to move,4150,9025,4 BHK Apartment in Paras Dews,Sector 106,Not approved by RERA,4,Apartment,37479356.148696885
Under Construction,3500,18000,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment,63245419.14102412
Ready to move,2781,18500,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,3,Apartment,51385807.76384746
Ready to move,1800,11666,3 BHK Independent Floor in Ashley Floors 3,Sector 25,Not approved by RERA,3,Floor,21012051.79320409
Ready to move,3638,15118,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment,54986889.43791985
Ready to move,1728,10127,3 BHK Independent Floor,Sector 48,Not approved by RERA,3,Plot,17500358.379368998
Under Construction,2637,6826,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,18000000.000000242
Under Construction,578,4086,2 BHK Apartment in Pyramid Pride,Sector 76,Approved by RERA,2,Apartment,2363222.398170305
Ready to move,2150,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment,15999999.99999963
Under Construction,1558,11000,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,17078915.508786276
Ready to move,1410,14184,2 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,2,Apartment,19900000.000001214
Ready to move,1046,12222,2 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,2,Apartment,12700000.000000358
Ready to move,2200,16200,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment,35657669.63565088
Ready to move,800,8375,2 BHK Apartment in Shree Vardhman Mantra,Sector 67,Not approved by RERA,2,Apartment,6683828.871696218
Under Construction,2800,13000,4 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,4,Apartment,36400000.000001304
Under Construction,1700,220000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment,374000000.00001967
Under Construction,968,34746,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment,33600000.00000194
Ready to move,1895,5804,4 BHK Apartment,Sector 92,Not approved by RERA,4,Plot,10981868.593164606
Ready to move,2655,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,42399999.99999836
Ready to move,2398,16000,3 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,3,Apartment,38307980.01592797
Ready to move,990,13000,2 BHK Apartment in Signature Global City 37D,Sector 37D,Not approved by RERA,2,Apartment,12799498.046484428
Under Construction,2835,7583,4 BHK Apartment in Assotech Blith,Sector 99,Approved by RERA,4,Apartment,21666300.857931264
Ready to move,6450,15000,5 BHK Apartment in M3M St Andrews Golf Residences,Sector 65,Not approved by RERA,5,Apartment,96164561.8907345
Ready to move,1741,7250,2 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,2,Apartment,12599923.6122986
Under Construction,1000,22000,1 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,1,Apartment,21981540.852513053
Ready to move,1760,5600,3 BHK Apartment in Paras Dews,Sector 106,Not approved by RERA,3,Apartment,9793222.567513691
Under Construction,2380,18000,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment,42799999.99999812
Ready to move,3500,4857,4 BHK Independent Floor in Unitech South City II,Sector 49,Not approved by RERA,4,Floor,16875072.472333357
Under Construction,2630,17604,4 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,4,Apartment,46183662.35514352
Ready to move,4100,9487,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment,39466102.419973806
Ready to move,3670,14728,3 BHK Apartment in SS The Hibiscus,Sector 50,Not approved by RERA,3,Apartment,54064212.78739867
Under Construction,2380,10714,3 BHK Apartment in M3M Latitude,Sector 65,Approved by RERA,3,Apartment,25563173.70152775
Under Construction,1829,12301,3 BHK Apartment in Godrej Air,Sector 85,Approved by RERA,3,Apartment,22482348.20185527
Under Construction,1300,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment,20196465.30177626
Ready to move,1470,11224,3 BHK Independent Floor in Signature Global City 37D II 2,Sector 37D,Not approved by RERA,3,Floor,16414433.960582262
Ready to move,1650,10606,3 BHK Independent Floor in Trehan Luxury Floors 71,Sector 71,Not approved by RERA,3,Floor,17468842.27745699
Ready to move,2700,4629,4 BHK Apartment in Anant Raj Maceo,Sector 91,Not approved by RERA,4,Apartment,12406086.927983856
Under Construction,3956,20252,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment,80099999.99999802
Under Construction,669,3563,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment,2448651.164743642
Ready to move,494,8500,2 BHK Apartment in Pivotal Riddhi Siddhi,Sector 99,Not approved by RERA,2,Apartment,4192703.332797116
Under Construction,1518,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment,24497474.267519303
Ready to move,1732,20801,2 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,2,Apartment,36000000.00000196
Ready to move,1359,7358,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Not approved by RERA,3,Apartment,10007142.793494755
