Status,Area,Rate per sqft,Property Type,Locality,RERA Approval,BHK_Count,Flat Type
Under Construction,4100,12878,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment
Ready to move,6251,22702,5 BHK Villa in B kumar and brothers the passion group,DLF Phase 2,Not approved by RERA,5,Villa
Ready to move,1442,12482,3 BHK Apartment in BPTP Park Prime,Sector 66,Not approved by RERA,3,Apartment
Ready to move,1675,5671,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot
Under Construction,1310,14029,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Ready to move,2120,8100,3 BHK Apartment in Orris Aster Court Premier,Sector 85,Not approved by RERA,3,Apartment
Ready to move,745,7449,2 BHK Apartment,Sector 89A,Not approved by RERA,2,Plot
Ready to move,2595,7707,4 BHK Apartment in The Antriksh Heights,Sector 84,Not approved by RERA,4,Apartment
Under Construction,1408,9700,4 BHK Apartment in Ashiana Amarah,Sector 93,Approved by RERA,4,Apartment
Ready to move,1579,14249,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment
Ready to move,4096,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,2588,14489,3 BHK Apartment in Emaar Digi Homes,Sector 62,Approved by RERA,3,Apartment
Under Construction,2250,7555,3 BHK Apartment in Dharma Constructions 67,Sector 67,Approved by RERA,3,Apartment
Under Construction,1650,20000,3 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,3,Apartment
Under Construction,1946,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,7400,74323,4 BHK Apartment in DLF Camellias,Sector 42,Not approved by RERA,4,Apartment
Ready to move,5575,47202,4 BHK Apartment in DLF The Aralias,Sector 42,Not approved by RERA,4,Apartment
Ready to move,1946,14645,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Not approved by RERA,3,Apartment
Ready to move,1995,5864,3 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,3,Apartment
Ready to move,2350,6669,3 BHK Apartment in AIPL The Peaceful Homes,Sector 70A,Not approved by RERA,3,Apartment
Under Construction,1964,19959,2 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,2,Apartment
Under Construction,1423,7238,3 BHK Apartment in M3M Soulitude,Sector 89,Approved by RERA,3,Apartment
Ready to move,5600,19642,4 BHK Apartment in Emaar Marbella,Sector 66,Not approved by RERA,4,Apartment
Ready to move,2913,27855,4 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,4,Apartment
Ready to move,2050,7444,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment
Under Construction,600,3966,2 BHK Apartment in Ganga TATHASTU,Sector 4 Sohna,Approved by RERA,2,Apartment
Ready to move,1605,12149,3 BHK Independent Floor in Unitown Trehan Luxury Floor 63,Sector 63,Not approved by RERA,3,Floor
Under Construction,526,4100,2 BHK Apartment in Pyramid Heights,Sector 85,Approved by RERA,2,Apartment
Ready to move,2550,9607,4 BHK Independent Floor,Palam Vihar,Not approved by RERA,4,Plot
Under Construction,1975,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Under Construction,1310,20000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Ready to move,1785,6834,3 BHK Apartment in Chintels Paradiso,Sector 109,Not approved by RERA,3,Apartment
Under Construction,3505,19230,4 BHK Apartment in Smart Smartworld The Edition,Sector 66,Approved by RERA,4,Apartment
Ready to move,1550,10000,2 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,2,Apartment
Under Construction,1630,11595,3 BHK Apartment in M3M Smart World Orchard,Sector 61,Approved by RERA,3,Apartment
Ready to move,2251,14304,4 BHK Apartment in DLF Phase 3,Sector 24,Not approved by RERA,4,Apartment
Under Construction,1976,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,3500,9285,4 BHK Independent Floor in Kibithu Kibithu Homes,Sector 47,Not approved by RERA,4,Floor
Under Construction,2055,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Ready to move,1350,8148,3 BHK Apartment in Mapsko Paradise,Sector 83,Not approved by RERA,3,Apartment
Under Construction,2217,12855,3 BHK Apartment in Tata La Vida,Sector 112,Approved by RERA,3,Apartment
Under Construction,2520,20381,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Under Construction,1330,20000,2 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,2,Apartment
Under Construction,4503,42735,5 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,5,Apartment
Ready to move,2660,11654,3 BHK Apartment in Bestech Park View Grand Spa,Sector 81,Not approved by RERA,3,Apartment
Ready to move,4632,7149,4 BHK Apartment in Spaze Privy,Sector 72,Not approved by RERA,4,Apartment
Ready to move,2200,9091,4 BHK Apartment in Paramount Luxury Floors Sector 57,Sector 57,Not approved by RERA,4,Apartment
Under Construction,1665,5945,3 BHK Apartment in Paras Dews,Sector 106,Approved by RERA,3,Apartment
Under Construction,1845,13983,3 BHK Apartment in Aviana Chintamani,Sector 103,Approved by RERA,3,Apartment
Under Construction,2090,14750,3 BHK Apartment in M3M Golf Hills Phase 1,Sector 79,Approved by RERA,3,Apartment
Ready to move,2289,11100,3 BHK Apartment in Godrej Aria,Sector 79,Not approved by RERA,3,Apartment
Ready to move,3890,28535,4 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,4,Apartment
Ready to move,2250,9600,3 BHK Independent Floor in Navraj The Antalya,Sector 37D,Not approved by RERA,3,Floor
Ready to move,1376,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,1555,21000,3 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,3,Apartment
Ready to move,1200,3000,3 BHK Independent Floor,Sector 105,Not approved by RERA,3,Plot
Ready to move,3500,10714,4 BHK Independent Floor,Sector 63,Not approved by RERA,4,Plot
Ready to move,2002,20800,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment
Ready to move,2450,14489,3 BHK Apartment in Puri Emerald Bay,Sector 104,Not approved by RERA,3,Apartment
Ready to move,3455,12030,4 BHK Apartment in Saan Verdante,Sector 95,Not approved by RERA,4,Apartment
Ready to move,3850,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,5970,16000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment
Ready to move,2700,38888,3 BHK Apartment in DLF The Crest,Sector 54,Not approved by RERA,3,Apartment
Ready to move,1700,6000,3 BHK Independent Floor in Surendra Homes,Sector 48,Not approved by RERA,3,Floor
Under Construction,2000,13400,3 BHK Apartment in Trehan Luxury Floors 71,Sector 71,Approved by RERA,3,Apartment
Ready to move,2366,9038,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment
Under Construction,1692,16500,4 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,4,Apartment
Ready to move,2366,8875,3 BHK Apartment in Godrej 101,Sector 79,Not approved by RERA,3,Apartment
Under Construction,2400,13956,4 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,4,Apartment
Ready to move,2410,13485,4 BHK Apartment in Emaar Palm Terraces Select,Sector 66,Not approved by RERA,4,Apartment
Under Construction,1642,12000,3 BHK Apartment in M3M Antalya Hills,Sector 79,Approved by RERA,3,Apartment
Ready to move,1632,10600,2 BHK Apartment in Ireo The Corridors,Sector 67,Not approved by RERA,2,Apartment
Ready to move,2050,20800,3 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,3,Apartment
Under Construction,2100,20095,3 BHK Apartment,Sector 113,Not approved by RERA,3,Plot
Under Construction,692,4000,2 BHK Apartment in Signature Global Global Aspire,Sector 95,Approved by RERA,2,Apartment
Ready to move,2240,22000,2 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,2,Apartment
Ready to move,2420,9793,3 BHK Apartment in Pioneer Presidia,Sector 62,Not approved by RERA,3,Apartment
Ready to move,3129,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1440,5555,2 BHK Apartment in Suncity Township,Sector 54,Not approved by RERA,2,Apartment
New,1575,14206,Residential Plot in BPTP District 6 Block L,Sector 84,Approved by RERA,6,Plot
Ready to move,920,4891,3 BHK Apartment,Sector 3A,Not approved by RERA,3,Plot
Ready to move,1215,12514,2 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Not approved by RERA,2,Apartment
Ready to move,3909,11364,4 BHK Villa in Sobha International City,Sector 109,Not approved by RERA,4,Villa
Ready to move,5000,4680,5 BHK Penthouse in Anant Raj Maceo,Sector 91,Not approved by RERA,5,Penthouse
Ready to move,2599,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment
Under Construction,2016,21301,4 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,4,Apartment
Ready to move,1365,7692,2 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,2,Apartment
Ready to move,2717,10857,4 BHK Independent Floor,Sushant Lok,Not approved by RERA,4,Plot
Ready to move,2430,9423,3 BHK Independent Floor in Right Right Villas 5,Sector 50,Not approved by RERA,3,Floor
Ready to move,2400,16250,4 BHK Independent House,DLF Phase 4,Not approved by RERA,4,Plot
Under Construction,1558,11000,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,2367,11998,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Not approved by RERA,3,Apartment
Ready to move,2400,11041,3 BHK Apartment in Assotech Blith,Sector 99,Not approved by RERA,3,Apartment
Under Construction,3090,12379,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,3,Apartment
Under Construction,1556,7372,3 BHK Apartment in Signature Global City 79 B,Sector 79,Approved by RERA,3,Apartment
Ready to move,1877,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment
Ready to move,2400,3333,3 BHK Apartment,IMT Manesar,Not approved by RERA,3,Plot
Under Construction,2740,14014,4 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Approved by RERA,4,Apartment
Ready to move,1990,22110,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Under Construction,2250,11250,3 BHK Apartment in Navraj The Antalya,Sector 37D,Approved by RERA,3,Apartment
Under Construction,1324,18008,3 BHK Apartment in Puri Diplomatic Residences,Sector 111,Approved by RERA,3,Apartment
Under Construction,1852,6749,3 BHK Apartment in Shapoorji Pallonji Joyville Gurugram Phase III,Sector 102,Approved by RERA,3,Apartment
Under Construction,3063,26564,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,3200,5312,4 BHK Apartment in Emaar Gurgaon Greens,Sector 102,Not approved by RERA,4,Apartment
Under Construction,1845,14250,3 BHK Apartment in Ashiana Amarah Phase 2,Sector 93,Approved by RERA,3,Apartment
Under Construction,2282,16005,3 BHK Apartment in Pyramid Alban,Sector 71,Approved by RERA,3,Apartment
Under Construction,2937,16500,3 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,3,Apartment
Ready to move,2475,4646,3 BHK Independent Floor,Sector 47,Not approved by RERA,3,Plot
Ready to move,2535,4299,4 BHK Apartment in Mapsko Casa Bella,Sector 82,Not approved by RERA,4,Apartment
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Under Construction,2100,20095,3 BHK Apartment,Sector 113,Not approved by RERA,3,Plot
Ready to move,3000,8333,4 BHK Apartment in Ashley Floors 11,Sector 54,Not approved by RERA,4,Apartment
Ready to move,1368,7510,2 BHK Apartment in Corona Optus,Sector 37C,Not approved by RERA,2,Apartment
Ready to move,2985,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Under Construction,1655,7830,3 BHK Apartment in AIPL Zen Residences,Sector 70A,Approved by RERA,3,Apartment
Ready to move,4510,10753,4 BHK Independent Floor,Sector 56,Not approved by RERA,4,Plot
Ready to move,2199,7510,3 BHK Apartment in Corona Optus,Sector 37C,Not approved by RERA,3,Apartment
Ready to move,1800,11111,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot
Under Construction,3800,20253,4 BHK Apartment in DLF The Arbour,Sector 63,Approved by RERA,4,Apartment
Under Construction,1660,41271,3 BHK Apartment in DLF The Grove,Sector 54,Approved by RERA,3,Apartment
Under Construction,1615,20000,2 BHK Apartment in M3M M3M Crown,Sector 111,Approved by RERA,2,Apartment
Ready to move,4243,17000,4 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,4,Apartment
Ready to move,2802,11598,3 BHK Apartment in Experion Windchants,Sector 112,Not approved by RERA,3,Apartment
Under Construction,2505,7784,3 BHK Apartment in Vatika Sovereign Park,Sector 99,Approved by RERA,3,Apartment
Ready to move,1132,14829,2 BHK Apartment in Ireo Uptown,Sector 66,Not approved by RERA,2,Apartment
Ready to move,4500,7688,4 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,4,Apartment
Under Construction,1690,15576,3 BHK Apartment in Whiteland Blissville,Sector 76,Approved by RERA,3,Apartment
Ready to move,1665,8708,3 BHK Apartment in Paras Dews,Sector 106,Not approved by RERA,3,Apartment
Under Construction,2289,5460,3 BHK Apartment in Godrej Aria,Sector 79,Approved by RERA,3,Apartment
Under Construction,2600,16500,3 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,3,Apartment
Ready to move,1230,9756,3 BHK Apartment in Central Park Flamingo Floors,Sector 33 Sohna,Not approved by RERA,3,Apartment
Ready to move,1507,20212,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,508,4098,2 BHK Apartment in Mahira Homes 95,Sector 95,Approved by RERA,2,Apartment
Ready to move,1537,5530,3 BHK Apartment,Sector 37C,Not approved by RERA,3,Plot
Under Construction,1082,5161,3 BHK Apartment in Signature Global Park 4 And 5,Sector 36 Sohna,Approved by RERA,3,Apartment
Under Construction,693,11544,3 BHK Independent House,Sector 3A,Not approved by RERA,3,Plot
Ready to move,3000,6666,4 BHK Apartment in Ashley Floors 13,Sector 51,Not approved by RERA,4,Apartment
Ready to move,1099,13467,2 BHK Apartment in Hero Homes Gurgaon,Sector 104,Not approved by RERA,2,Apartment
Under Construction,2892,42734,3 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,3,Apartment
Ready to move,3452,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,2054,22106,3 BHK Apartment in M3M Heights,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1200,3000,3 BHK Independent Floor,Sector 105,Not approved by RERA,3,Plot
Under Construction,2275,16500,5 BHK Apartment in Elan The Presidential,Sector 106,Approved by RERA,5,Apartment
Ready to move,2050,11250,3 BHK Apartment in Bestech Park View Altura,Sector 79,Not approved by RERA,3,Apartment
Under Construction,4430,17300,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment
Under Construction,2376,16006,3 BHK Apartment in Pyramid Alban,Sector 71,Approved by RERA,3,Apartment
Ready to move,3524,14829,4 BHK Apartment in Ireo Uptown,Sector 66,Not approved by RERA,4,Apartment
Ready to move,2340,9401,3 BHK Independent Floor,Sector 57,Not approved by RERA,3,Plot
Under Construction,2437,9627,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Ready to move,1311,12356,2 BHK Apartment in Godrej Nature Plus,Sector 33 Sohna,Not approved by RERA,2,Apartment
Ready to move,975,6538,3 BHK Apartment in Signature Global The Roselia,Sector 95A,Not approved by RERA,3,Apartment
Under Construction,2597,20265,4 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,4,Apartment
Ready to move,3854,19410,4 BHK Villa in Sobha International City,Sector 109,Not approved by RERA,4,Villa
Ready to move,1200,3750,3 BHK Independent Floor,Ashok Vihar Phase II,Not approved by RERA,3,Plot
Ready to move,1582,10113,3 BHK Independent Floor in Vatika India Next,Sector 82,Not approved by RERA,3,Floor
Ready to move,2985,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,4015,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1100,7454,2 BHK Apartment in unitech the residences sector 33,Sector 33,Not approved by RERA,2,Apartment
Under Construction,575,4000,2 BHK Apartment in Imperia Aashiyara,Sector 37C,Approved by RERA,2,Apartment
Under Construction,2188,7084,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,1300,15307,3 BHK Independent Floor in Anant Raj Estate Plots,Sector 63,Not approved by RERA,3,Floor
Ready to move,5092,15000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Under Construction,1535,11009,3 BHK Apartment in Signature Global City 37D,Sector 37D,Approved by RERA,3,Apartment
Ready to move,3740,18716,4 BHK Villa in Vatika Signature Villas,Sector 82,Not approved by RERA,4,Villa
Ready to move,3000,10000,4 BHK Independent Floor,Sector 57,Not approved by RERA,4,Plot
Ready to move,1400,9642,3 BHK Independent Floor in SS Almeria,Sector 84,Not approved by RERA,3,Floor
Under Construction,1528,9450,3 BHK Apartment in M3M Antalya Hills Phase I,Sector 79,Approved by RERA,3,Apartment
Under Construction,1103,5893,2 BHK Apartment in Smart Smart World Gems,Sector 89,Approved by RERA,2,Apartment
Under Construction,2822,42749,4 BHK Apartment in Tulip Monsella,Sector 53,Approved by RERA,4,Apartment
Under Construction,1751,37407,4 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,4,Apartment
Under Construction,2298,20000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Under Construction,2400,13400,4 BHK Apartment in Silverglades The Melia,Sector 35 Sohna,Approved by RERA,4,Apartment
Ready to move,3747,23000,3 BHK Apartment in M3M Panorama Suites,Sector 65,Not approved by RERA,3,Apartment
Under Construction,2700,20000,4 BHK Apartment in DLF Platinum Residences,DLF Phase 4,Approved by RERA,4,Apartment
Ready to move,2475,8484,4 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,4,Apartment
Ready to move,3390,18913,4 BHK Apartment in Parsvnath Exotica,Sector 53,Not approved by RERA,4,Apartment
Ready to move,1424,8500,2 BHK Apartment in M3M Skywalk,Sector 74,Not approved by RERA,2,Apartment
Under Construction,2147,26565,3 BHK Apartment in Birla Navya Gurugram,Sector 63,Approved by RERA,3,Apartment
Under Construction,1082,4500,3 BHK Apartment in Signature Global Park 4 And 5,Sector 36 Sohna,Approved by RERA,3,Apartment
Under Construction,968,34746,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Under Construction,2250,20000,3 BHK Apartment in Krisumi Waterside Residence,Sector 36A,Approved by RERA,3,Apartment
Ready to move,1671,10900,2 BHK Apartment in SS The Leaf,Sector 85,Not approved by RERA,2,Apartment
Under Construction,1210,7024,2 BHK Apartment in Central Park Cerise Floors,Sector 33 Sohna,Approved by RERA,2,Apartment
Under Construction,1852,6506,3 BHK Apartment in Shapoorji Pallonji JoyVille,Sector 102,Approved by RERA,3,Apartment
Under Construction,3051,12946,3 BHK Apartment in Ganga Nandaka,Sector 84,Approved by RERA,3,Apartment
Ready to move,3240,2623,3 BHK Independent Floor,Palam Vihar Pocket H,Not approved by RERA,3,Plot
Ready to move,4615,30816,4 BHK Apartment in Central Park Resorts,Sector 48,Not approved by RERA,4,Apartment
Under Construction,1630,13496,3 BHK Apartment in M3M Smart World Orchard,Sector 61,Approved by RERA,3,Apartment
Under Construction,4430,17300,4 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,4,Apartment
Ready to move,2072,27855,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Ready to move,2831,11500,4 BHK Apartment in DLF The Ultima,Sector 81,Not approved by RERA,4,Apartment
Under Construction,599,4087,2 BHK Apartment in Pyramid Heights,Sector 85,Approved by RERA,2,Apartment
Ready to move,3900,12025,4 BHK Apartment in DLF Pinnacle,Sector 43,Not approved by RERA,4,Apartment
Ready to move,5039,16868,5 BHK Apartment in Ireo Victory Valley,Sector 67,Not approved by RERA,5,Apartment
Ready to move,1500,9000,3 BHK Independent Floor in SDR SDR Floors - 10,DLF Phase 2,Not approved by RERA,3,Floor
Under Construction,921,15349,1 BHK Apartment in Krisumi Waterfall Suites,Sector 36A,Approved by RERA,1,Apartment
Under Construction,1200,15000,2 BHK Apartment in Smart Smartworld Orchard,Sector 61,Approved by RERA,2,Apartment
Ready to move,500,9000,2 BHK Apartment in ROF Aalayas,Sector 102,Not approved by RERA,2,Apartment
Under Construction,3000,22500,4 BHK Apartment in M3M Mansion,Sector 113,Approved by RERA,4,Apartment
Ready to move,2700,12407,4 BHK Independent Floor,Sushant Lok,Not approved by RERA,4,Plot
Under Construction,356,4076,1 BHK Apartment in Signature Global Golf Green,Sector 79,Approved by RERA,1,Apartment
Under Construction,4000,4250,4 BHK Apartment in Saan Verdante,Sector 95,Approved by RERA,4,Apartment
Ready to move,4000,18000,4 BHK Apartment in Emaar Palm Drive,Sector 66,Not approved by RERA,4,Apartment
Under Construction,2400,13000,3 BHK Apartment in Signature Global Deluxe DXP,Sector 37D,Approved by RERA,3,Apartment
Ready to move,2010,14179,4 BHK Apartment in Tulip Violet,Sector 69,Not approved by RERA,4,Apartment
Ready to move,1348,22405,3 BHK Apartment in Sobha City Vista Residences,Sector 108,Not approved by RERA,3,Apartment
Ready to move,3968,22000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1665,14114,3 BHK Independent Floor,Sector 45,Not approved by RERA,3,Plot
Ready to move,1689,11841,3 BHK Apartment in Hero Homes Gurgaon,Sector 104,Not approved by RERA,3,Apartment
Ready to move,2230,8968,4 BHK Apartment in DLF New Town Heights,Sector 86,Not approved by RERA,4,Apartment
Under Construction,544,4006,2 BHK Apartment in Mahira Homes,Sector 68,Approved by RERA,2,Apartment
Under Construction,1002,34665,3 BHK Apartment in Godrej Aristocrat,Sector 49,Approved by RERA,3,Apartment
Ready to move,900,6666,3 BHK Apartment in GLS Avenue 51,Sector 92,Not approved by RERA,3,Apartment
Under Construction,2637,6826,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,3600,9722,4 BHK Independent Floor in Reputed Builder Sushant Lok 3,Sector 57,Not approved by RERA,4,Floor
Ready to move,2599,20200,4 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,4,Apartment
Ready to move,2475,10101,4 BHK Apartment in Bestech Park View Sanskruti,Sector 92,Not approved by RERA,4,Apartment
Ready to move,2000,11500,3 BHK Apartment in Bargainer Ultra Premium Floors,DLF Phase 2,Not approved by RERA,3,Apartment
Ready to move,2700,16667,4 BHK Apartment in Adani Brahma Samsara Vilasa,Sector 63,Not approved by RERA,4,Apartment
Ready to move,2562,14441,4 BHK Apartment in Orchid Petals,Sector 49,Not approved by RERA,4,Apartment
Under Construction,1976,20000,3 BHK Apartment in Krisumi Waterfall Residences,Sector 36A,Approved by RERA,3,Apartment
Ready to move,3976,18500,4 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Not approved by RERA,4,Apartment
Under Construction,6838,16500,5 BHK Apartment in Whiteland The Aspen,Sector 76,Approved by RERA,5,Apartment
Ready to move,2600,11538,4 BHK Apartment in Bargainer Ultra Premium Floors,DLF Phase 2,Not approved by RERA,4,Apartment
Ready to move,2122,10000,4 BHK Apartment in Eldeco Accolade,Sector 2 Sohna,Not approved by RERA,4,Apartment
Under Construction,4140,16151,4 BHK Apartment in SS Linden,Sector 84,Approved by RERA,4,Apartment
Ready to move,900,27777,2 BHK Independent House in Surendra Luxury Floor 45,Sector 45,Not approved by RERA,2,House
Ready to move,1100,5090,3 BHK Independent Floor,Sector 69,Not approved by RERA,3,Plot
Ready to move,2700,15185,4 BHK Apartment in M3M Capital,Sector 113,Not approved by RERA,4,Apartment
Under Construction,3240,4320,3 BHK Independent Floor,Palam Vihar,Not approved by RERA,3,Plot
Ready to move,2191,7987,4 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,4,Apartment
Ready to move,1100,5675,1 BHK Apartment in Raheja Navodaya,Sector 92,Not approved by RERA,1,Apartment
Under Construction,3800,19000,4 BHK Apartment in Emaar Urban Oasis,Sector 62,Approved by RERA,4,Apartment
Ready to move,3203,10900,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,3732,15000,3 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,3,Apartment
Ready to move,1832,14184,3 BHK Apartment in BPTP Terra,Sector 37D,Not approved by RERA,3,Apartment
Ready to move,2800,7500,4 BHK Independent Floor in Ansal Esencia,Sector 67,Not approved by RERA,4,Floor
Ready to move,1650,12121,3 BHK Apartment in Pareena Enorme,Sector 99A,Not approved by RERA,3,Apartment
Ready to move,2217,21216,3 BHK Apartment in TATA TATA La Vida,Sector 113,Not approved by RERA,3,Apartment
Ready to move,1700,13235,3 BHK Apartment in Puri Diplomatic Greens,Sector 110A,Not approved by RERA,3,Apartment
Ready to move,4752,11574,4 BHK Independent Floor in LUXURY floorsss,Sushant LOK I,Not approved by RERA,4,Floor
Ready to move,900,27777,2 BHK Independent House in Surendra Luxury Floor 45,Sector 45,Not approved by RERA,2,House
Under Construction,955,5968,2 BHK Independent Floor in Signature Global City 92,Sector 92,Approved by RERA,2,Floor
Under Construction,2100,220000,4 BHK Apartment in M3M Capital,Sector 113,Approved by RERA,4,Apartment
Ready to move,1953,6144,3 BHK Apartment in Raheja Atharva,Sector 109,Not approved by RERA,3,Apartment
Ready to move,3062,12500,4 BHK Apartment in Saan Verdante,Sector 95,Not approved by RERA,4,Apartment
Under Construction,845,5004,2 BHK Apartment in Signature Global Global Park 2 And 3,Sector 36 Sohna,Approved by RERA,2,Apartment
Under Construction,981,9169,2 BHK Apartment in Signature Global City 93,Sector 93,Approved by RERA,2,Apartment
Ready to move,4518,7304,5 BHK Independent Floor in Project,Golf Course Road,Not approved by RERA,5,Floor
Ready to move,1900,6315,3 BHK Apartment in Emaar Palm Gardens,Sector 83,Not approved by RERA,3,Apartment
Under Construction,1262,11886,3 BHK Apartment in Ashiana Anmol Phase III And Plaza Ph II,Sector 33 Sohna,Approved by RERA,3,Apartment
Ready to move,1829,20200,3 BHK Apartment in Godrej Air,Sector 85,Not approved by RERA,3,Apartment
Under Construction,2597,13154,4 BHK Apartment in Smart Smartworld One DXP,Sector 113,Approved by RERA,4,Apartment
Under Construction,2781,11866,3 BHK Apartment in Ambience Creacions,Sector 22 Gurgaon,Approved by RERA,3,Apartment
Ready to move,1997,9464,3 BHK Apartment in Pareena Coban Residences,Sector 99A,Not approved by RERA,3,Apartment
Ready to move,4785,22000,4 BHK Apartment in M3M Golf Estate,Sector 65,Not approved by RERA,4,Apartment
Ready to move,1200,4000,3 BHK Independent Floor,Sector 5,Not approved by RERA,3,Plot
Ready to move,2750,20801,4 BHK Apartment in Godrej Meridien,Sector 106,Not approved by RERA,4,Apartment
Ready to move,2520,13095,3 BHK Apartment in Tata Gurgaon Gateway,Sector 112,Not approved by RERA,3,Apartment
Ready to move,1285,6614,3 BHK Apartment in Ramprastha The Atrium,Sector 37D,Not approved by RERA,3,Apartment
